Booking_ID,no_of_adults,no_of_children,total_people,no_of_weekend_nights,no_of_week_nights,total_nights,lead_time,avg_price_per_room,booking_status
INN00058,2,0,2,1,2,3,117,93.5999984741211,Not_Canceled
INN00059,2,0,2,1,4,5,39,120.5999984741211,Canceled
INN00060,2,0,2,0,3,3,86,99.30000305175781,Not_Canceled
INN00061,2,2,4,0,1,1,2,258.0,Not_Canceled
INN00062,1,0,1,0,3,3,19,120.12000274658203,Not_Canceled
INN00063,1,0,1,0,2,2,192,95.0,Not_Canceled
INN00064,1,0,1,0,1,1,2,0.0,Not_Canceled
INN00065,2,0,2,2,1,3,86,75.0,Not_Canceled
INN00066,2,0,2,0,3,3,30,157.5,Not_Canceled
INN00067,2,0,2,0,2,2,179,97.69999694824219,Not_Canceled
INN00068,2,0,2,0,2,2,26,142.0,Canceled
INN00069,2,0,2,0,1,1,55,80.0,Not_Canceled
INN00070,2,0,2,1,2,3,74,85.5,Not_Canceled
INN00071,2,0,2,0,3,3,143,100.0,Not_Canceled
INN00072,2,0,2,1,0,1,34,88.0,Not_Canceled
INN00073,2,0,2,1,1,2,30,122.8499984741211,Not_Canceled
INN00074,2,0,2,0,2,2,177,100.0,Canceled
INN00075,2,0,2,2,3,5,34,75.0,Not_Canceled
INN00076,2,0,2,1,4,5,18,116.80000305175781,Not_Canceled
INN00077,3,0,3,1,1,2,267,121.5,Not_Canceled
INN00078,2,0,2,1,2,3,64,111.9000015258789,Not_Canceled
INN00079,3,0,3,2,5,7,155,121.55000305175781,Canceled
INN00080,2,0,2,0,5,5,46,75.0,Not_Canceled
INN00081,2,2,4,0,2,2,83,159.3000030517578,Canceled
INN00082,2,0,2,0,5,5,128,132.3000030517578,Canceled
INN00083,2,0,2,2,0,2,20,88.0,Not_Canceled
INN00084,2,0,2,1,4,5,40,98.81999969482422,Not_Canceled
INN00085,2,0,2,1,2,3,46,98.30000305175781,Not_Canceled
INN00086,1,0,1,1,0,1,1,150.0,Not_Canceled
INN00087,2,0,2,2,3,5,196,96.05000305175781,Not_Canceled
INN00088,1,0,1,0,2,2,188,130.0,Canceled
INN00089,2,0,2,0,1,1,17,95.0,Not_Canceled
INN00090,2,0,2,0,3,3,146,113.55999755859375,Not_Canceled
INN00091,2,0,2,1,3,4,110,101.58000183105469,Not_Canceled
INN00092,2,0,2,1,2,3,68,105.30000305175781,Not_Canceled
INN00093,2,0,2,2,1,3,73,115.80000305175781,Not_Canceled
INN00094,2,0,2,0,1,1,92,149.39999389648438,Not_Canceled
INN00095,2,0,2,2,5,7,171,111.58999633789062,Canceled
INN00096,2,1,3,0,2,2,134,130.5,Not_Canceled
INN00097,2,0,2,0,2,2,320,115.0,Canceled
INN00098,2,0,2,0,4,4,118,90.94999694824219,Not_Canceled
INN00099,2,0,2,0,3,3,30,76.08000183105469,Not_Canceled
INN00100,2,2,4,1,3,4,30,156.89999389648438,Not_Canceled
INN00101,2,0,2,1,0,1,189,85.5,Not_Canceled
INN00102,3,0,3,1,2,3,55,159.3000030517578,Not_Canceled
INN00103,1,0,1,0,4,4,55,74.80000305175781,Not_Canceled
INN00104,2,0,2,0,1,1,16,95.0,Not_Canceled
INN00105,2,0,2,0,3,3,24,107.0,Not_Canceled
INN00106,2,0,2,0,3,3,8,64.0,Not_Canceled
INN00107,2,0,2,1,4,5,10,82.94999694824219,Not_Canceled
INN00108,2,0,2,1,3,4,0,155.0,Not_Canceled
INN00109,2,0,2,0,1,1,12,101.68000030517578,Not_Canceled
INN00110,2,0,2,2,1,3,32,94.5,Not_Canceled
INN00111,2,0,2,0,2,2,182,117.9000015258789,Canceled
INN00112,2,0,2,1,0,1,1,127.0,Not_Canceled
INN00113,2,0,2,0,3,3,122,116.0999984741211,Not_Canceled
INN00114,2,0,2,2,3,5,40,117.9000015258789,Not_Canceled
INN00115,2,2,4,2,2,4,116,184.24000549316406,Canceled
INN00116,3,0,3,2,2,4,123,155.6999969482422,Not_Canceled
INN00117,3,0,3,2,5,7,40,135.75999450683594,Canceled
INN00118,2,1,3,2,5,7,105,102.83000183105469,Not_Canceled
INN00119,2,0,2,0,1,1,443,65.0,Canceled
INN00120,2,0,2,2,3,5,2,103.0,Not_Canceled
INN00121,2,0,2,0,3,3,317,106.19999694824219,Canceled
INN00122,2,0,2,0,2,2,286,58.5,Not_Canceled
INN00123,2,0,2,1,3,4,68,73.94999694824219,Canceled
INN00124,2,0,2,0,3,3,148,105.30000305175781,Not_Canceled
INN00125,3,0,3,2,0,2,68,133.1999969482422,Not_Canceled
INN00126,2,0,2,0,2,2,30,85.5,Not_Canceled
INN00127,1,0,1,0,1,1,14,112.0,Canceled
INN00128,2,2,4,0,2,2,110,190.8000030517578,Canceled
INN00129,1,0,1,2,3,5,117,110.0,Not_Canceled
INN00130,2,0,2,1,4,5,85,91.4800033569336,Not_Canceled
INN00131,2,0,2,0,2,2,1,135.0,Not_Canceled
INN00132,1,0,1,1,2,3,25,129.0,Not_Canceled
INN00133,2,0,2,2,4,6,289,70.55000305175781,Canceled
INN00134,2,0,2,1,4,5,28,75.0,Not_Canceled
INN00135,1,0,1,0,4,4,80,72.25,Not_Canceled
INN00136,2,0,2,0,1,1,11,155.0,Not_Canceled
INN00137,2,1,3,1,0,1,162,121.5,Canceled
INN00138,2,0,2,2,5,7,155,90.94999694824219,Not_Canceled
INN00139,1,0,1,2,2,4,82,109.6500015258789,Not_Canceled
INN00140,3,0,3,2,4,6,27,142.72000122070312,Canceled
INN00141,1,0,1,1,2,3,13,90.0,Not_Canceled
INN00142,2,0,2,0,2,2,245,75.0,Canceled
INN00143,2,0,2,0,2,2,11,111.0,Canceled
INN00144,2,0,2,2,2,4,266,86.69999694824219,Not_Canceled
INN00145,2,0,2,1,0,1,39,117.9000015258789,Not_Canceled
INN00146,1,0,1,0,2,2,13,0.0,Not_Canceled
INN00147,2,0,2,0,4,4,112,101.58000183105469,Not_Canceled
INN00148,2,0,2,1,2,3,88,58.900001525878906,Not_Canceled
INN00149,2,0,2,0,1,1,56,120.0,Not_Canceled
INN00150,2,0,2,2,3,5,73,107.0999984741211,Canceled
INN00151,2,0,2,1,1,2,80,126.9000015258789,Not_Canceled
INN00152,2,0,2,0,3,3,130,139.5,Canceled
INN00153,2,0,2,1,3,4,69,80.75,Not_Canceled
INN00154,2,0,2,0,2,2,273,109.0,Canceled
INN00155,2,0,2,0,1,1,55,104.0,Not_Canceled
INN00156,1,0,1,0,3,3,4,65.0,Not_Canceled
INN00157,2,0,2,0,3,3,97,140.39999389648438,Not_Canceled
INN00158,2,0,2,0,3,3,44,75.0,Not_Canceled
INN00159,2,0,2,0,1,1,31,94.5,Canceled
INN00160,2,0,2,1,0,1,0,109.0,Not_Canceled
INN00161,2,0,2,2,2,4,62,105.0,Not_Canceled
INN00162,2,0,2,2,2,4,86,107.94999694824219,Not_Canceled
INN00163,3,0,3,2,2,4,3,215.60000610351562,Not_Canceled
INN00164,2,0,2,1,1,2,197,85.5,Not_Canceled
INN00165,2,0,2,0,2,2,143,105.30000305175781,Not_Canceled
INN00166,1,0,1,2,1,3,23,1.0,Not_Canceled
INN00167,2,0,2,0,2,2,8,156.0,Canceled
INN00168,1,0,1,0,2,2,13,73.1500015258789,Not_Canceled
INN00169,2,0,2,1,2,3,280,110.0,Canceled
INN00170,2,1,3,1,0,1,11,87.4000015258789,Not_Canceled
INN00171,2,0,2,0,2,2,317,120.0,Canceled
INN00172,2,0,2,1,2,3,185,79.19999694824219,Canceled
INN00173,2,0,2,1,3,4,160,90.94999694824219,Not_Canceled
INN00174,2,0,2,0,4,4,104,91.4800033569336,Not_Canceled
INN00175,2,1,3,0,1,1,11,150.0,Canceled
INN00176,2,0,2,0,1,1,2,89.0,Not_Canceled
INN00177,2,0,2,1,4,5,14,91.43000030517578,Not_Canceled
INN00178,2,0,2,0,2,2,22,140.0,Not_Canceled
INN00179,1,1,2,2,5,7,37,87.77999877929688,Not_Canceled
INN00180,2,0,2,0,2,2,292,115.0,Canceled
INN00181,2,0,2,0,3,3,11,80.8499984741211,Not_Canceled
INN00182,2,0,2,1,3,4,86,82.44999694824219,Not_Canceled
INN00183,2,0,2,0,1,1,109,108.0,Canceled
INN00184,2,0,2,1,1,2,72,96.30000305175781,Not_Canceled
INN00185,2,0,2,1,5,6,196,99.44999694824219,Canceled
INN00186,2,0,2,0,2,2,56,140.39999389648438,Not_Canceled
INN00187,2,0,2,1,3,4,189,72.25,Not_Canceled
INN00188,2,0,2,1,4,5,126,126.0,Not_Canceled
INN00189,2,0,2,2,3,5,303,78.0,Canceled
INN00190,1,0,1,2,2,4,81,146.60000610351562,Not_Canceled
INN00191,2,0,2,1,2,3,54,118.80000305175781,Canceled
INN00192,1,0,1,0,1,1,15,145.0,Canceled
INN00193,2,0,2,0,4,4,86,84.58000183105469,Canceled
INN00194,2,0,2,1,2,3,161,130.0,Canceled
INN00195,2,0,2,4,10,14,147,118.87999725341797,Canceled
INN00196,2,0,2,1,2,3,92,101.5199966430664,Not_Canceled
INN00197,2,0,2,0,1,1,87,100.0,Canceled
INN00198,2,0,2,2,1,3,109,58.0,Not_Canceled
INN00199,2,0,2,0,4,4,127,61.5,Not_Canceled
INN00200,2,0,2,1,2,3,418,107.0,Canceled
INN00201,2,0,2,1,4,5,156,87.30000305175781,Not_Canceled
INN00202,2,0,2,0,2,2,80,76.5,Canceled
INN00203,2,0,2,2,2,4,211,63.75,Canceled
INN00204,2,0,2,1,2,3,273,95.0,Canceled
INN00205,2,0,2,2,1,3,58,75.0,Not_Canceled
INN00206,2,0,2,0,3,3,433,70.0,Canceled
INN00207,2,0,2,1,3,4,111,101.58000183105469,Not_Canceled
INN00208,2,0,2,2,3,5,34,85.0,Not_Canceled
INN00209,2,0,2,2,4,6,17,98.38999938964844,Not_Canceled
INN00210,1,0,1,0,0,0,4,0.0,Not_Canceled
INN00211,2,0,2,0,3,3,6,106.06999969482422,Not_Canceled
INN00212,2,0,2,1,1,2,32,105.0,Not_Canceled
INN00213,2,0,2,0,1,1,4,145.0,Not_Canceled
INN00214,3,0,3,2,1,3,195,106.02999877929688,Canceled
INN00215,2,0,2,2,2,4,119,114.30000305175781,Not_Canceled
INN00216,1,0,1,1,1,2,13,88.0,Not_Canceled
INN00217,2,0,2,0,2,2,59,89.25,Not_Canceled
INN00218,2,1,3,2,5,7,78,86.31999969482422,Not_Canceled
INN00219,2,0,2,0,3,3,335,90.0,Not_Canceled
INN00220,2,0,2,2,5,7,103,55.959999084472656,Not_Canceled
INN00221,1,0,1,0,2,2,0,109.0,Not_Canceled
INN00222,2,0,2,0,1,1,118,86.0,Not_Canceled
INN00223,2,0,2,1,5,6,56,118.94999694824219,Not_Canceled
INN00224,2,0,2,0,2,2,107,130.0,Not_Canceled
INN00225,2,0,2,1,3,4,70,90.55999755859375,Not_Canceled
INN00226,2,0,2,0,2,2,76,87.30000305175781,Not_Canceled
INN00227,2,2,4,2,2,4,144,177.64999389648438,Canceled
INN00228,1,2,3,2,2,4,4,200.75,Not_Canceled
INN00229,2,1,3,0,2,2,15,127.0,Not_Canceled
INN00230,1,0,1,1,2,3,32,72.9000015258789,Canceled
INN00231,3,0,3,1,1,2,49,159.3000030517578,Canceled
INN00232,2,1,3,1,3,4,77,135.14999389648438,Not_Canceled
INN00233,1,0,1,0,2,2,22,90.0,Not_Canceled
INN00234,2,0,2,1,0,1,0,114.0,Not_Canceled
INN00235,2,1,3,0,1,1,58,125.0999984741211,Not_Canceled
INN00236,2,0,2,2,6,8,4,95.12999725341797,Not_Canceled
INN00237,2,0,2,0,2,2,117,105.83999633789062,Canceled
INN00238,2,0,2,1,3,4,36,102.0,Canceled
INN00239,2,0,2,2,2,4,35,74.80000305175781,Not_Canceled
INN00240,2,0,2,1,0,1,31,94.5,Canceled
INN00241,2,0,2,2,4,6,79,120.5999984741211,Not_Canceled
INN00242,2,0,2,1,2,3,1,139.3300018310547,Not_Canceled
INN00243,2,0,2,0,2,2,21,105.0,Not_Canceled
INN00244,2,0,2,0,2,2,12,100.0,Not_Canceled
INN00245,2,0,2,1,0,1,33,80.30000305175781,Not_Canceled
INN00246,1,0,1,0,2,2,164,100.0,Not_Canceled
INN00247,2,0,2,0,3,3,78,105.30000305175781,Not_Canceled
INN00248,2,0,2,0,4,4,18,112.80000305175781,Canceled
INN00249,2,0,2,1,2,3,21,151.0,Canceled
INN00250,1,0,1,1,3,4,0,91.0,Not_Canceled
INN00251,3,0,3,2,1,3,152,146.6999969482422,Canceled
INN00252,2,0,2,2,3,5,43,58.400001525878906,Not_Canceled
INN00253,2,0,2,0,4,4,177,80.75,Canceled
INN00254,2,0,2,1,1,2,47,76.5,Not_Canceled
INN00255,3,0,3,0,3,3,57,140.1300048828125,Not_Canceled
INN00256,2,0,2,2,4,6,60,76.0,Not_Canceled
INN00257,2,0,2,0,1,1,0,200.0,Not_Canceled
INN00258,2,0,2,0,2,2,102,101.5,Canceled
INN00259,2,0,2,0,3,3,71,108.0,Not_Canceled
INN00260,3,0,3,2,3,5,111,189.0,Not_Canceled
INN00261,3,0,3,1,1,2,1,166.0,Not_Canceled
INN00262,2,0,2,1,1,2,4,67.5,Not_Canceled
INN00263,2,0,2,1,3,4,25,78.54000091552734,Not_Canceled
INN00264,1,0,1,2,2,4,209,152.10000610351562,Canceled
INN00265,1,0,1,2,1,3,93,115.0,Canceled
INN00266,2,0,2,2,5,7,53,66.52999877929688,Not_Canceled
INN00267,1,0,1,0,2,2,1,0.0,Not_Canceled
INN00268,1,0,1,2,1,3,4,0.0,Not_Canceled
INN00269,2,0,2,0,3,3,302,90.30000305175781,Canceled
INN00270,2,0,2,0,2,2,122,85.0,Not_Canceled
INN00271,1,0,1,0,1,1,16,75.0,Not_Canceled
INN00272,2,0,2,2,4,6,28,115.37000274658203,Canceled
INN00273,2,0,2,1,2,3,161,130.0,Canceled
INN00274,3,0,3,0,2,2,57,126.0,Not_Canceled
INN00275,2,0,2,1,0,1,19,94.3499984741211,Not_Canceled
INN00276,3,0,3,2,4,6,109,118.45999908447266,Not_Canceled
INN00277,1,0,1,0,2,2,239,90.5999984741211,Canceled
INN00278,1,0,1,2,1,3,33,82.9000015258789,Not_Canceled
INN00279,2,0,2,0,3,3,11,95.33000183105469,Not_Canceled
INN00280,3,0,3,2,5,7,40,135.63999938964844,Not_Canceled
INN00281,3,0,3,1,1,2,45,122.4000015258789,Not_Canceled
INN00282,2,0,2,1,3,4,41,116.0999984741211,Canceled
INN00283,2,0,2,0,4,4,167,62.18000030517578,Canceled
INN00284,2,0,2,0,4,4,62,63.75,Canceled
INN00285,1,0,1,1,4,5,113,118.80000305175781,Canceled
INN00286,2,0,2,0,2,2,1,167.0,Not_Canceled
INN00287,2,2,4,2,2,4,84,187.85000610351562,Not_Canceled
INN00288,0,2,2,2,2,4,68,108.37999725341797,Canceled
INN00289,2,0,2,0,1,1,9,0.0,Not_Canceled
INN00290,3,0,3,1,2,3,245,128.6999969482422,Canceled
INN00291,2,0,2,1,3,4,80,80.33000183105469,Not_Canceled
INN00292,2,0,2,1,1,2,7,140.0,Canceled
INN00293,2,1,3,1,1,2,128,76.5,Not_Canceled
INN00294,2,0,2,2,1,3,100,105.30000305175781,Not_Canceled
INN00295,2,0,2,2,1,3,118,87.30000305175781,Canceled
INN00296,1,0,1,0,3,3,166,110.0,Canceled
INN00297,1,0,1,0,1,1,41,83.0,Not_Canceled
INN00298,2,0,2,2,2,4,174,99.44999694824219,Not_Canceled
INN00299,2,1,3,2,1,3,27,104.5,Not_Canceled
INN00300,2,0,2,2,6,8,2,92.54000091552734,Not_Canceled
INN00301,1,0,1,0,3,3,37,95.0,Not_Canceled
INN00302,1,0,1,0,2,2,188,130.0,Canceled
INN00303,2,0,2,2,1,3,68,63.0,Not_Canceled
INN00304,2,0,2,1,2,3,189,109.80000305175781,Canceled
INN00305,2,0,2,1,0,1,10,103.0,Not_Canceled
INN00306,3,0,3,2,1,3,19,130.0,Not_Canceled
INN00307,2,0,2,0,2,2,61,117.0,Canceled
INN00308,2,0,2,0,4,4,95,60.5,Not_Canceled
INN00309,2,0,2,0,1,1,83,112.19999694824219,Not_Canceled
INN00310,2,0,2,1,3,4,37,135.89999389648438,Canceled
INN00311,2,0,2,1,0,1,19,151.0,Canceled
INN00312,2,2,4,0,2,2,22,239.0,Not_Canceled
INN00313,2,0,2,2,1,3,22,59.09000015258789,Not_Canceled
INN00314,2,0,2,2,5,7,151,103.08999633789062,Canceled
INN00315,2,0,2,2,1,3,26,87.0,Not_Canceled
INN00316,3,0,3,1,0,1,27,137.0,Canceled
INN00317,2,0,2,0,2,2,79,109.0,Not_Canceled
INN00318,2,0,2,1,1,2,247,115.0,Canceled
INN00319,2,0,2,2,3,5,189,99.44999694824219,Not_Canceled
INN00320,2,0,2,0,2,2,320,115.0,Canceled
INN00321,3,0,3,1,2,3,27,130.0,Not_Canceled
INN00322,1,0,1,1,0,1,51,65.0,Not_Canceled
INN00323,2,0,2,0,2,2,245,75.0,Canceled
INN00324,2,1,3,1,2,3,52,132.89999389648438,Canceled
INN00325,1,0,1,2,0,2,13,120.0,Not_Canceled
INN00326,2,0,2,0,2,2,46,79.19999694824219,Canceled
INN00327,3,0,3,2,1,3,84,159.3000030517578,Canceled
INN00328,1,0,1,0,2,2,188,130.0,Canceled
INN00329,2,0,2,0,3,3,19,90.0,Not_Canceled
INN00330,2,0,2,0,2,2,67,140.39999389648438,Not_Canceled
INN00331,2,0,2,0,1,1,0,75.0,Not_Canceled
INN00332,2,0,2,0,2,2,273,109.0,Canceled
INN00333,2,0,2,2,1,3,110,94.5,Canceled
INN00334,1,0,1,0,1,1,0,75.0,Not_Canceled
INN00335,2,0,2,1,2,3,32,75.0,Not_Canceled
INN00336,2,0,2,2,1,3,282,76.66999816894531,Not_Canceled
INN00337,2,0,2,2,2,4,38,126.0,Not_Canceled
INN00338,2,0,2,1,1,2,175,85.5,Not_Canceled
INN00339,2,0,2,0,3,3,143,140.6999969482422,Canceled
INN00340,2,0,2,2,2,4,127,103.69999694824219,Not_Canceled
INN00341,1,0,1,0,1,1,0,142.0,Not_Canceled
INN00342,2,1,3,2,5,7,95,103.69999694824219,Not_Canceled
INN00343,1,0,1,1,2,3,118,110.0,Not_Canceled
INN00344,2,0,2,0,3,3,45,75.0,Not_Canceled
INN00345,3,0,3,1,1,2,69,137.6999969482422,Not_Canceled
INN00346,2,0,2,0,1,1,57,87.30000305175781,Not_Canceled
INN00347,1,0,1,0,2,2,5,0.0,Not_Canceled
INN00348,2,0,2,0,2,2,39,101.5,Not_Canceled
INN00349,2,0,2,0,1,1,0,97.0,Not_Canceled
INN00350,3,0,3,1,1,2,89,150.3000030517578,Not_Canceled
INN00351,2,0,2,0,4,4,85,82.44999694824219,Not_Canceled
INN00352,1,0,1,0,1,1,4,103.0,Not_Canceled
INN00353,1,0,1,2,6,8,11,145.0,Canceled
INN00354,1,0,1,1,1,2,12,145.0,Not_Canceled
INN00355,2,0,2,2,2,4,77,134.85000610351562,Not_Canceled
INN00356,2,1,3,1,1,2,14,168.25,Not_Canceled
INN00357,1,0,1,2,1,3,1,60.0,Canceled
INN00358,2,0,2,1,3,4,133,76.0,Not_Canceled
INN00359,2,0,2,1,2,3,3,63.5,Not_Canceled
INN00360,2,0,2,2,0,2,19,95.0,Not_Canceled
INN00361,2,0,2,2,2,4,86,90.94999694824219,Not_Canceled
INN00362,2,0,2,0,2,2,23,98.4000015258789,Not_Canceled
INN00363,2,0,2,0,1,1,65,135.89999389648438,Not_Canceled
INN00364,2,0,2,0,2,2,1,130.0,Not_Canceled
INN00365,2,0,2,0,1,1,66,81.9000015258789,Not_Canceled
INN00366,3,0,3,1,4,5,50,78.8499984741211,Not_Canceled
INN00367,2,0,2,2,3,5,87,141.3000030517578,Canceled
INN00368,2,0,2,1,1,2,159,70.0,Not_Canceled
INN00369,2,0,2,2,3,5,39,170.10000610351562,Not_Canceled
INN00370,2,0,2,2,0,2,386,115.0,Canceled
INN00371,2,2,4,0,5,5,22,199.0,Not_Canceled
INN00372,2,0,2,2,2,4,102,82.44999694824219,Not_Canceled
INN00373,4,0,4,0,3,3,86,192.86000061035156,Not_Canceled
INN00374,2,0,2,2,2,4,56,185.0,Not_Canceled
INN00375,2,0,2,2,6,8,36,68.06999969482422,Not_Canceled
INN00376,2,0,2,0,3,3,50,118.80000305175781,Not_Canceled
INN00377,2,0,2,0,2,2,115,104.4000015258789,Canceled
INN00378,1,0,1,0,1,1,0,65.0,Not_Canceled
INN00379,2,0,2,1,3,4,35,71.0999984741211,Canceled
INN00380,2,0,2,2,1,3,17,95.0,Not_Canceled
INN00381,2,0,2,4,11,15,237,116.62000274658203,Canceled
INN00382,2,0,2,0,4,4,125,136.0,Not_Canceled
INN00383,2,2,4,2,2,4,32,147.89999389648438,Canceled
INN00384,2,0,2,2,0,2,5,123.69999694824219,Not_Canceled
INN00385,2,0,2,2,1,3,91,135.89999389648438,Canceled
INN00386,2,0,2,0,2,2,102,109.0,Not_Canceled
INN00387,3,0,3,2,1,3,9,186.0,Not_Canceled
INN00388,3,0,3,1,3,4,155,115.5999984741211,Canceled
INN00389,2,2,4,0,1,1,0,221.0,Canceled
INN00390,1,0,1,0,3,3,11,65.0,Not_Canceled
INN00391,1,0,1,0,1,1,0,80.0,Not_Canceled
INN00392,2,1,3,1,4,5,86,73.83000183105469,Not_Canceled
INN00393,1,0,1,0,1,1,18,67.0,Not_Canceled
INN00394,2,0,2,0,2,2,58,80.30000305175781,Not_Canceled
INN00395,2,0,2,2,1,3,54,85.0,Not_Canceled
INN00396,2,1,3,2,3,5,25,152.10000610351562,Canceled
INN00397,2,0,2,0,2,2,107,89.25,Not_Canceled
INN00398,1,0,1,0,4,4,100,110.0,Not_Canceled
INN00399,2,0,2,1,2,3,273,95.0,Canceled
INN00400,2,0,2,0,1,1,29,79.0,Not_Canceled
INN00401,2,0,2,0,1,1,221,80.0,Canceled
INN00402,2,0,2,2,2,4,213,102.8499984741211,Canceled
INN00403,2,0,2,1,2,3,198,90.0,Canceled
INN00404,2,0,2,1,2,3,81,62.369998931884766,Not_Canceled
INN00405,2,0,2,0,1,1,23,98.0,Not_Canceled
INN00406,2,0,2,0,3,3,26,117.66999816894531,Canceled
INN00407,2,0,2,2,1,3,20,141.0,Not_Canceled
INN00408,2,1,3,1,3,4,124,156.61000061035156,Canceled
INN00409,3,0,3,0,3,3,85,152.10000610351562,Canceled
INN00410,2,0,2,0,1,1,167,105.30000305175781,Canceled
INN00411,2,0,2,1,3,4,71,119.8499984741211,Not_Canceled
INN00412,2,0,2,0,2,2,48,97.19999694824219,Not_Canceled
INN00413,1,0,1,0,1,1,37,116.0999984741211,Not_Canceled
INN00414,3,0,3,2,2,4,76,150.4499969482422,Canceled
INN00415,1,0,1,0,1,1,13,71.0,Not_Canceled
INN00416,1,0,1,1,0,1,3,0.0,Not_Canceled
INN00417,2,0,2,1,2,3,75,60.0,Not_Canceled
INN00418,1,0,1,0,1,1,5,89.0,Not_Canceled
INN00419,2,0,2,2,0,2,386,115.0,Canceled
INN00420,2,0,2,1,1,2,180,100.0,Not_Canceled
INN00421,2,0,2,1,3,4,122,75.9000015258789,Canceled
INN00422,2,0,2,1,2,3,224,65.0,Not_Canceled
INN00423,2,0,2,2,2,4,24,104.55000305175781,Not_Canceled
INN00424,1,0,1,2,2,4,162,115.0,Canceled
INN00425,3,0,3,1,1,2,25,187.0,Canceled
INN00426,1,0,1,0,1,1,1,115.0,Not_Canceled
INN00427,2,0,2,0,4,4,236,84.43000030517578,Canceled
INN00428,2,0,2,2,3,5,120,90.94999694824219,Canceled
INN00429,2,0,2,1,3,4,12,208.0,Not_Canceled
INN00430,2,0,2,2,4,6,224,97.18000030517578,Canceled
INN00431,1,0,1,0,4,4,33,79.11000061035156,Not_Canceled
INN00432,2,0,2,0,2,2,24,0.0,Not_Canceled
INN00433,2,0,2,0,1,1,22,120.0,Not_Canceled
INN00434,2,0,2,0,3,3,10,126.0,Not_Canceled
INN00435,2,0,2,0,2,2,15,91.0,Canceled
